sno,sort_order,event_type_mod,side,is_goal,assist_method,shot_outcome_mod,location_mod,Side1_Win,Side2_Win,Draw
4,82,0,2,0,0,0,6,1,0,0
4,83,1,2,0,0,1,3,1,0,0
4,84,0,2,0,0,0,6,1,0,0
4,85,1,2,0,2,1,3,1,0,0
4,86,0,2,0,0,0,6,1,0,0
4,87,1,1,0,1,2,15,1,0,0
4,88,3,1,0,0,0,6,1,0,0
4,89,0,2,0,0,0,2,1,0,0
4,90,4,1,0,0,0,6,1,0,0
5,1,0,1,0,0,0,2,0,0,1
5,2,3,1,0,0,0,6,0,0,1
5,3,3,2,0,0,0,6,0,0,1
5,4,0,2,0,0,0,2,0,0,1
5,5,0,1,0,0,0,2,0,0,1
5,6,3,2,0,0,0,6,0,0,1
5,7,3,1,0,0,0,6,0,0,1
5,8,0,2,0,0,0,1,0,0,1
5,9,0,2,0,0,0,6,0,0,1
5,10,0,2,0,0,0,6,0,0,1
5,11,1,2,0,0,2,3,0,0,1
5,12,0,1,0,0,0,2,0,0,1
5,13,0,1,0,0,0,1,0,0,1
5,14,3,2,0,0,0,6,0,0,1
5,15,3,2,0,0,0,6,0,0,1
5,16,1,1,0,0,2,15,0,0,1
5,17,1,2,0,0,2,15,0,0,1
5,18,0,1,0,0,0,2,0,0,1
5,19,3,2,0,0,0,6,0,0,1
5,20,3,1,0,0,0,6,0,0,1
5,21,0,1,0,0,0,2,0,0,1
5,22,0,2,0,0,0,2,0,0,1
5,23,3,2,0,0,0,6,0,0,1
5,24,0,1,0,0,0,6,0,0,1
5,25,0,1,0,0,0,2,0,0,1
5,26,3,2,0,0,0,6,0,0,1
5,27,4,2,0,0,0,6,0,0,1
5,28,0,1,0,0,0,2,0,0,1
5,29,3,2,0,0,0,6,0,0,1
5,30,3,1,0,0,0,6,0,0,1
5,31,0,2,0,0,0,1,0,0,1
5,32,1,2,0,3,1,15,0,0,1
5,33,0,1,0,0,0,2,0,0,1
5,34,3,2,0,0,0,6,0,0,1
5,35,3,1,0,0,0,6,0,0,1
5,36,0,2,0,0,0,1,0,0,1
5,37,1,2,0,1,1,3,0,0,1
5,38,0,1,0,0,0,2,0,0,1
5,39,3,2,0,0,0,6,0,0,1
5,40,0,2,0,0,0,6,0,0,1
5,41,0,2,0,0,0,6,0,0,1
5,42,3,1,0,0,0,6,0,0,1
5,43,0,2,0,0,0,2,0,0,1
5,44,0,1,0,0,0,2,0,0,1
5,45,3,2,0,0,0,6,0,0,1
5,46,1,2,0,1,2,15,0,0,1
5,47,0,1,0,0,0,1,0,0,1
5,48,3,1,0,0,0,6,0,0,1
5,49,3,2,0,0,0,6,0,0,1
